Sequence	Position	P start	P occupied
SEQ1	0	0.0609	0.0609
SEQ1	1	0.0346	0.0955
SEQ1	2	0.0214	0.116
SEQ1	3	0.0186	0.135
SEQ1	4	0.0257	0.161
SEQ1	5	0.034	0.195
SEQ1	6	0.0522	0.247
SEQ1	7	0.089	0.336
SEQ1	8	0.102	0.438
SEQ1	9	0.0705	0.508
SEQ1	10	0.04	0.548
SEQ1	11	0.0161	0.565
SEQ1	12	0.00681	0.571
SEQ1	13	0.00355	0.575
SEQ1	14	0.00304	0.578
SEQ1	15	0.00315	0.581
SEQ1	16	0.00443	0.585
SEQ1	17	0.00623	0.592
SEQ1	18	0.00945	0.601
SEQ1	19	0.0128	0.614
SEQ1	20	0.0213	0.635
SEQ1	21	0.0211	0.656
SEQ1	22	0.0134	0.670
SEQ1	23	0.00784	0.678
SEQ1	24	0.0046	0.682
SEQ1	25	0.00335	0.686
SEQ1	26	0.00399	0.690
SEQ1	27	0.00892	0.698
SEQ1	28	0.0145	0.713
SEQ1	29	0.0166	0.730
SEQ1	30	0.0113	0.741
SEQ1	31	0.00796	0.749
SEQ1	32	0.00569	0.755
SEQ1	33	0.00417	0.759
SEQ1	34	0.00246	0.761
SEQ1	35	0.00226	0.763
SEQ1	36	0.00254	0.766
SEQ1	37	0.00391	0.770
SEQ1	38	0.00951	0.779
SEQ1	39	0.0165	0.796
SEQ1	40	0.0164	0.812
SEQ1	41	0.0145	0.827
SEQ1	42	0.00673	0.833
SEQ1	43	0.00285	0.836
SEQ1	44	0.00157	0.838
SEQ1	45	0.001	0.839
SEQ1	46	0.000916	0.840
SEQ1	47	0.00106	0.841
SEQ1	48	0.00135	0.842
SEQ1	49	0.00172	0.844
SEQ1	50	0.00199	0.846
SEQ1	51	0.0016	0.848
SEQ1	52	0.00148	0.849
SEQ1	53	0.00151	0.851
SEQ1	54	0.00187	0.852
SEQ1	55	0.00211	0.855
SEQ1	56	0.00235	0.857
SEQ1	57	0.0024	0.859
SEQ1	58	0.00155	0.861
SEQ1	59	0.00135	0.862
SEQ1	60	0.00144	0.864
SEQ1	61	0.00107	0.865
SEQ1	62	0.000811	0.865
SEQ1	63	0.000851	0.866
SEQ1	64	0.000993	0.867
SEQ1	65	0.00164	0.869
SEQ1	66	0.00204	0.871
SEQ1	67	0.00223	0.873
SEQ1	68	0.00239	0.876
SEQ1	69	0.00245	0.878
SEQ1	70	0.00179	0.880
SEQ1	71	0.00111	0.881
SEQ1	72	0.000717	0.882
SEQ1	73	0.000676	0.882
SEQ1	74	0.000653	0.883
SEQ1	75	0.000675	0.884
SEQ1	76	0.000769	0.884
SEQ1	77	0.000923	0.885
SEQ1	78	0.000768	0.886
SEQ1	79	0.000514	0.887
SEQ1	80	0.000386	0.887
SEQ1	81	0.000406	0.887
SEQ1	82	0.000373	0.888
SEQ1	83	0.000435	0.888
SEQ1	84	0.000453	0.889
SEQ1	85	0.000469	0.889
SEQ1	86	0.000676	0.890
SEQ1	87	0.000586	0.890
SEQ1	88	0.000604	0.891
SEQ1	89	0.000498	0.892
SEQ1	90	0.000293	0.892
SEQ1	91	0.000213	0.892
SEQ1	92	0.000123	0.892
SEQ1	93	0.000107	0.892
SEQ1	94	0.000132	0.892
SEQ1	95	0.000178	0.893
SEQ1	96	0.000272	0.893
SEQ1	97	0.000416	0.893
SEQ1	98	0.000386	0.894
