Sequence	Position	Raw Binding (log ratio)
SEQ1	146	-0.0267
SEQ1	147	-0.588
SEQ1	148	-1.06
SEQ1	149	-1.19
SEQ1	150	-0.836
SEQ1	151	-0.5
SEQ1	152	0.00158
SEQ1	153	0.578
SEQ1	154	0.741
SEQ1	155	0.383
SEQ1	156	-0.176
SEQ1	157	-1.08
SEQ1	158	-1.93
SEQ1	159	-2.57
SEQ1	160	-2.71
SEQ1	161	-2.65
SEQ1	162	-2.27
SEQ1	163	-1.89
SEQ1	164	-1.43
SEQ1	165	-1.11
SEQ1	166	-0.585
SEQ1	167	-0.581
SEQ1	168	-1.01
SEQ1	169	-1.52
SEQ1	170	-2
SEQ1	171	-2.24
SEQ1	172	-2.02
SEQ1	173	-1.19
SEQ1	174	-0.683
SEQ1	175	-0.537
SEQ1	176	-0.912
SEQ1	177	-1.23
SEQ1	178	-1.51
SEQ1	179	-1.73
SEQ1	180	-2.16
SEQ1	181	-2.11
SEQ1	182	-1.87
SEQ1	183	-1.36
SEQ1	184	-0.418
SEQ1	185	0.179
SEQ1	186	0.204
SEQ1	187	0.0916
SEQ1	188	-0.66
SEQ1	189	-1.5
SEQ1	190	-2.07
SEQ1	191	-2.48
SEQ1	192	-2.51
SEQ1	193	-2.3
SEQ1	194	-2.03
SEQ1	195	-1.76
SEQ1	196	-1.59
SEQ1	197	-1.79
SEQ1	198	-1.84
SEQ1	199	-1.79
SEQ1	200	-1.53
SEQ1	201	-1.37
SEQ1	202	-1.23
SEQ1	203	-1.19
SEQ1	204	-1.6
SEQ1	205	-1.71
SEQ1	206	-1.62
SEQ1	207	-1.89
SEQ1	208	-2.16
SEQ1	209	-2.09
SEQ1	210	-1.92
SEQ1	211	-1.37
SEQ1	212	-1.08
SEQ1	213	-0.876
SEQ1	214	-0.714
SEQ1	215	-0.641
SEQ1	216	-0.908
SEQ1	217	-1.34
SEQ1	218	-1.73
SEQ1	219	-1.74
SEQ1	220	-1.72
SEQ1	221	-1.66
SEQ1	222	-1.5
SEQ1	223	-1.3
SEQ1	224	-1.47
SEQ1	225	-1.84
SEQ1	226	-2.1
SEQ1	227	-2.02
SEQ1	228	-2.07
SEQ1	229	-1.88
SEQ1	230	-1.79
SEQ1	231	-1.71
SEQ1	232	-1.28
SEQ1	233	-1.36
SEQ1	234	-1.29
SEQ1	235	-1.45
SEQ1	236	-1.97
SEQ1	237	-2.28
SEQ1	238	-2.82
SEQ1	239	-2.93
SEQ1	240	-2.71
SEQ1	241	-2.37
SEQ1	242	-1.9
SEQ1	243	-1.44
SEQ1	244	-1.46
SEQ1	245	-1.6
SEQ1	246	-1.44
SEQ1	247	-1.22
SEQ1	248	-0.923
SEQ1	249	-0.593
SEQ1	250	-0.508
SEQ1	251	-0.522
SEQ1	252	-0.53
SEQ1	253	-0.431
SEQ1	254	-0.147
SEQ1	255	0.19
SEQ1	256	0.354
SEQ1	257	0.11
SEQ1	258	-0.342
SEQ1	259	-1.12
SEQ1	260	-1.48
SEQ1	261	-0.989
SEQ1	262	-0.405
SEQ1	263	0.219
SEQ1	264	0.94
SEQ1	265	1.1
SEQ1	266	0.98
SEQ1	267	0.433
SEQ1	268	-0.0603
SEQ1	269	-0.594
SEQ1	270	-0.971
SEQ1	271	-1.13
SEQ1	272	-0.985
SEQ1	273	-0.569
SEQ1	274	0.18
SEQ1	275	0.962
SEQ1	276	1.54
SEQ1	277	1.6
SEQ1	278	1.12
SEQ1	279	0.234
SEQ1	280	-0.998
SEQ1	281	-1.63
SEQ1	282	-1.7
SEQ1	283	-1.37
SEQ1	284	-0.748
SEQ1	285	0.0248
SEQ1	286	0.424
SEQ1	287	0.775
SEQ1	288	0.931
SEQ1	289	0.733
SEQ1	290	0.391
SEQ1	291	-0.143
SEQ1	292	-0.461
SEQ1	293	-0.659
SEQ1	294	-0.469
SEQ1	295	0.344
SEQ1	296	1.24
SEQ1	297	1.85
SEQ1	298	2.01
SEQ1	299	1.49
SEQ1	300	0.913
SEQ1	301	0.134
SEQ1	302	-0.147
SEQ1	303	-0.331
SEQ1	304	-0.0455
SEQ1	305	0.0646
SEQ1	306	0.489
SEQ1	307	1
SEQ1	308	1.34
SEQ1	309	1.61
SEQ1	310	1.25
SEQ1	311	0.809
SEQ1	312	0.268
SEQ1	313	0.322
SEQ1	314	0.622
SEQ1	315	1.07
SEQ1	316	1.83
SEQ1	317	2.07
SEQ1	318	1.78
SEQ1	319	1.01
SEQ1	320	0.447
SEQ1	321	0.264
SEQ1	322	0.523
SEQ1	323	1.12
SEQ1	324	1.77
SEQ1	325	2.34
SEQ1	326	2.3
SEQ1	327	2.58
SEQ1	328	2.41
SEQ1	329	1.88
SEQ1	330	1.48
SEQ1	331	1.25
SEQ1	332	0.813
SEQ1	333	0.254
SEQ1	334	-0.0221
SEQ1	335	0.255
SEQ1	336	0.711
SEQ1	337	1.17
SEQ1	338	1.5
SEQ1	339	1.38
SEQ1	340	0.912
SEQ1	341	0.453
SEQ1	342	0.401
SEQ1	343	0.0818
SEQ1	344	0.495
SEQ1	345	0.778
SEQ1	346	0.954
SEQ1	347	0.81
SEQ1	348	0.482
SEQ1	349	0.419
SEQ1	350	0.302
SEQ1	351	0.429
SEQ1	352	0.377
SEQ1	353	0.147
SEQ1	354	-0.261
SEQ1	355	0.0753
SEQ1	356	0.291
SEQ1	357	0.874
SEQ1	358	1.42
SEQ1	359	1.7
SEQ1	360	1.44
SEQ1	361	0.699
SEQ1	362	0.562
SEQ1	363	0.536
SEQ1	364	0.551
SEQ1	365	0.623
SEQ1	366	0.525
SEQ1	367	0.153
SEQ1	368	-0.252
SEQ1	369	-0.412
SEQ1	370	-0.406
SEQ1	371	-0.329
SEQ1	372	-0.0955
SEQ1	373	0.0223
SEQ1	374	0.107
SEQ1	375	0.125
SEQ1	376	0.252
SEQ1	377	0.293
SEQ1	378	0.617
SEQ1	379	0.527
SEQ1	380	0.162
SEQ1	381	-0.369
SEQ1	382	-1.18
SEQ1	383	-1.28
SEQ1	384	-1.04
SEQ1	385	-0.483
SEQ1	386	-0.285
SEQ1	387	0.265
SEQ1	388	0.457
SEQ1	389	0.471
SEQ1	390	0.666
SEQ1	391	0.99
SEQ1	392	0.949
SEQ1	393	0.796
SEQ1	394	0.376
SEQ1	395	0.0737
SEQ1	396	-0.19
SEQ1	397	0.115
SEQ1	398	0.281
SEQ1	399	0.495
SEQ1	400	0.209
SEQ1	401	-0.381
SEQ1	402	-1.13
SEQ1	403	-1.66
SEQ1	404	-1.63
SEQ1	405	-0.933
SEQ1	406	-0.426
SEQ1	407	-0.0191
SEQ1	408	0.344
SEQ1	409	0.62
SEQ1	410	0.809
SEQ1	411	0.418
SEQ1	412	0.191
SEQ1	413	-0.38
SEQ1	414	-0.773
SEQ1	415	-0.873
SEQ1	416	-0.827
SEQ1	417	-0.605
SEQ1	418	0.126
SEQ1	419	0.522
SEQ1	420	0.355
SEQ1	421	-0.314
SEQ1	422	-0.999
SEQ1	423	-1.15
SEQ1	424	-1.02
SEQ1	425	-0.437
SEQ1	426	0.393
SEQ1	427	0.973
SEQ1	428	1.17
SEQ1	429	1.02
SEQ1	430	0.423
SEQ1	431	-0.33
SEQ1	432	-1.01
SEQ1	433	-1.43
SEQ1	434	-1.71
SEQ1	435	-1.71
SEQ1	436	-1.17
SEQ1	437	-0.695
SEQ1	438	0.0367
SEQ1	439	0.392
SEQ1	440	0.608
SEQ1	441	0.363
SEQ1	442	-0.0796
SEQ1	443	-0.639
SEQ1	444	-0.606
SEQ1	445	-0.203
SEQ1	446	0.466
SEQ1	447	1.11
SEQ1	448	1.51
SEQ1	449	1.29
SEQ1	450	0.53
SEQ1	451	-0.318
SEQ1	452	-0.517
SEQ1	453	-0.697
SEQ1	454	-0.701
SEQ1	455	-0.645
SEQ1	456	-0.732
SEQ1	457	-0.556
SEQ1	458	-0.221
SEQ1	459	0.433
SEQ1	460	1.02
SEQ1	461	1.79
SEQ1	462	1.91
SEQ1	463	1.29
SEQ1	464	0.933
SEQ1	465	0.504
SEQ1	466	0.234
SEQ1	467	0.498
SEQ1	468	0.629
SEQ1	469	0.823
SEQ1	470	0.774
SEQ1	471	0.822
SEQ1	472	0.883
SEQ1	473	0.985
SEQ1	474	0.933
SEQ1	475	0.733
SEQ1	476	0.22
SEQ1	477	-0.315
SEQ1	478	-0.8
SEQ1	479	-0.524
SEQ1	480	0.0228
SEQ1	481	0.246
SEQ1	482	0.201
SEQ1	483	-0.315
SEQ1	484	-0.846
SEQ1	485	-1.26
SEQ1	486	-1.12
SEQ1	487	-0.84
SEQ1	488	-0.786
SEQ1	489	-0.91
SEQ1	490	-1.24
SEQ1	491	-1.45
SEQ1	492	-1.26
SEQ1	493	-0.709
SEQ1	494	-0.0878
SEQ1	495	0.129
SEQ1	496	0.268
SEQ1	497	-0.183
SEQ1	498	-0.295
SEQ1	499	-0.297
SEQ1	500	-0.0524
SEQ1	501	0.18
SEQ1	502	0.162
SEQ1	503	-0.277
SEQ1	504	-1.34
SEQ1	505	-2.55
SEQ1	506	-3.22
SEQ1	507	-2.78
SEQ1	508	-2.1
SEQ1	509	-1.47
SEQ1	510	-1
SEQ1	511	-0.744
SEQ1	512	-0.212
SEQ1	513	-0.344
SEQ1	514	-0.308
SEQ1	515	-0.461
SEQ1	516	-0.818
SEQ1	517	-1.38
SEQ1	518	-1.77
SEQ1	519	-1.48
SEQ1	520	-1.02
SEQ1	521	-0.607
SEQ1	522	0.0273
SEQ1	523	0.413
SEQ1	524	0.548
SEQ1	525	0.0729
SEQ1	526	-0.339
SEQ1	527	-0.505
SEQ1	528	-0.395
SEQ1	529	0.0123
SEQ1	530	0.477
SEQ1	531	0.947
SEQ1	532	1.13
SEQ1	533	1.22
SEQ1	534	0.69
SEQ1	535	0.508
SEQ1	536	0.124
SEQ1	537	-0.565
SEQ1	538	-1.41
SEQ1	539	-2.09
SEQ1	540	-2.37
SEQ1	541	-1.8
SEQ1	542	-0.91
SEQ1	543	-0.0346
SEQ1	544	0.377
SEQ1	545	0.669
SEQ1	546	0.694
SEQ1	547	0.219
SEQ1	548	-0.216
SEQ1	549	-0.513
SEQ1	550	-0.755
SEQ1	551	-1.02
SEQ1	552	-1.32
SEQ1	553	-1.53
SEQ1	554	-1.5
SEQ1	555	-1.67
SEQ1	556	-1.58
SEQ1	557	-1.64
SEQ1	558	-1.66
SEQ1	559	-1.69
SEQ1	560	-1.74
SEQ1	561	-1.26
SEQ1	562	-0.316
SEQ1	563	0.438
SEQ1	564	0.913
SEQ1	565	0.78
SEQ1	566	-0.0325
SEQ1	567	-0.921
SEQ1	568	-1.7
SEQ1	569	-2.23
SEQ1	570	-2.33
SEQ1	571	-2.58
SEQ1	572	-2.81
SEQ1	573	-2.77
SEQ1	574	-2.56
SEQ1	575	-2.67
SEQ1	576	-2.6
SEQ1	577	-2.27
SEQ1	578	-1.97
SEQ1	579	-1.61
SEQ1	580	-1.2
SEQ1	581	-0.867
SEQ1	582	-0.759
SEQ1	583	-0.772
SEQ1	584	-1.22
SEQ1	585	-1.64
SEQ1	586	-2.12
SEQ1	587	-2.6
SEQ1	588	-3.01
SEQ1	589	-2.82
SEQ1	590	-2.26
SEQ1	591	-1.72
SEQ1	592	-1.38
SEQ1	593	-0.988
SEQ1	594	-0.886
SEQ1	595	-0.799
SEQ1	596	-0.74
SEQ1	597	-0.819
SEQ1	598	-0.84
SEQ1	599	-0.758
SEQ1	600	-1.11
SEQ1	601	-1.25
SEQ1	602	-1.06
SEQ1	603	-1.03
SEQ1	604	-0.987
SEQ1	605	-1.23
SEQ1	606	-1.65
SEQ1	607	-1.99
SEQ1	608	-2.38
SEQ1	609	-2.38
SEQ1	610	-2.02
SEQ1	611	-0.841
SEQ1	612	-0.0387
SEQ1	613	0.432
SEQ1	614	0.668
SEQ1	615	0.231
SEQ1	616	-0.586
SEQ1	617	-1.03
SEQ1	618	-1.63
SEQ1	619	-1.79
SEQ1	620	-1.55
SEQ1	621	-1.33
SEQ1	622	-1.14
SEQ1	623	-1.13
SEQ1	624	-1.06
SEQ1	625	-1.2
SEQ1	626	-1.15
SEQ1	627	-1.05
SEQ1	628	-0.803
SEQ1	629	-0.48
SEQ1	630	-0.289
SEQ1	631	-0.313
SEQ1	632	-0.51
SEQ1	633	-0.417
SEQ1	634	-0.557
SEQ1	635	-0.508
SEQ1	636	-0.456
SEQ1	637	-1.18
SEQ1	638	-1.9
SEQ1	639	-2.46
SEQ1	640	-2.61
SEQ1	641	-2.47
SEQ1	642	-2.14
SEQ1	643	-1.52
SEQ1	644	-0.791
SEQ1	645	-0.361
SEQ1	646	-0.152
SEQ1	647	-0.0834
SEQ1	648	-0.0274
SEQ1	649	-0.247
SEQ1	650	-0.438
SEQ1	651	-0.506
SEQ1	652	-0.738
SEQ1	653	-1.17
SEQ1	654	-1.41
SEQ1	655	-1.41
SEQ1	656	-1.12
SEQ1	657	-0.834
SEQ1	658	-0.547
SEQ1	659	-0.0962
SEQ1	660	0.0804
SEQ1	661	0.388
SEQ1	662	0.17
SEQ1	663	0.179
SEQ1	664	0.256
SEQ1	665	0.113
SEQ1	666	0.0444
SEQ1	667	0.0776
SEQ1	668	-0.182
SEQ1	669	-0.239
SEQ1	670	-0.367
SEQ1	671	-0.778
SEQ1	672	-1.02
SEQ1	673	-1.06
SEQ1	674	-0.769
SEQ1	675	-0.709
SEQ1	676	-0.53
SEQ1	677	-0.39
SEQ1	678	-0.389
SEQ1	679	-0.551
SEQ1	680	-0.807
SEQ1	681	-0.558
SEQ1	682	-0.21
SEQ1	683	0.109
SEQ1	684	0.303
SEQ1	685	0.324
SEQ1	686	0.376
SEQ1	687	0.0945
SEQ1	688	0.263
SEQ1	689	0.447
SEQ1	690	0.445
SEQ1	691	0.613
SEQ1	692	0.321
SEQ1	693	0.35
SEQ1	694	0.38
SEQ1	695	0.345
SEQ1	696	0.539
SEQ1	697	0.456
SEQ1	698	0.716
SEQ1	699	0.657
SEQ1	700	0.438
SEQ1	701	0.21
SEQ1	702	0.127
SEQ1	703	-0.19
SEQ1	704	-0.429
SEQ1	705	-0.489
SEQ1	706	-0.406
SEQ1	707	-0.359
SEQ1	708	-0.532
SEQ1	709	-0.609
SEQ1	710	-0.249
SEQ1	711	0.197
SEQ1	712	0.537
SEQ1	713	1.07
SEQ1	714	1.4
SEQ1	715	1.71
SEQ1	716	1.75
SEQ1	717	1.53
SEQ1	718	1.28
SEQ1	719	1.09
SEQ1	720	1
SEQ1	721	0.853
SEQ1	722	0.875
SEQ1	723	0.405
SEQ1	724	-0.0303
SEQ1	725	-0.173
SEQ1	726	0.103
SEQ1	727	0.356
SEQ1	728	0.764
SEQ1	729	0.857
SEQ1	730	0.734
SEQ1	731	0.227
SEQ1	732	-0.0653
SEQ1	733	-0.0219
SEQ1	734	-0.0995
SEQ1	735	0.217
SEQ1	736	0.28
SEQ1	737	0.771
SEQ1	738	0.847
SEQ1	739	0.629
SEQ1	740	0.57
SEQ1	741	0.443
SEQ1	742	-0.0112
SEQ1	743	-0.203
SEQ1	744	-0.0811
SEQ1	745	-0.279
SEQ1	746	-0.248
SEQ1	747	0.245
SEQ1	748	1.09
SEQ1	749	1.36
SEQ1	750	1.33
SEQ1	751	0.875
SEQ1	752	0.478
SEQ1	753	0.00521
SEQ1	754	-0.411
SEQ1	755	-0.529
SEQ1	756	-0.51
SEQ1	757	-0.627
SEQ1	758	-0.904
SEQ1	759	-0.888
SEQ1	760	-0.63
SEQ1	761	-0.601
SEQ1	762	-0.199
SEQ1	763	-0.155
SEQ1	764	0.455
SEQ1	765	1.19
SEQ1	766	1.52
SEQ1	767	1.6
SEQ1	768	1.56
SEQ1	769	1.28
SEQ1	770	0.686
SEQ1	771	0.0831
SEQ1	772	-0.25
SEQ1	773	-0.525
SEQ1	774	-0.26
SEQ1	775	0.149
SEQ1	776	1.21
SEQ1	777	1.92
SEQ1	778	2.17
SEQ1	779	1.88
SEQ1	780	1.69
SEQ1	781	1.11
SEQ1	782	0.311
SEQ1	783	-0.303
SEQ1	784	-0.838
SEQ1	785	-0.959
SEQ1	786	-0.809
SEQ1	787	-0.311
SEQ1	788	-0.183
SEQ1	789	-0.184
SEQ1	790	-0.242
SEQ1	791	-0.354
SEQ1	792	-0.521
SEQ1	793	-0.661
SEQ1	794	-0.485
SEQ1	795	-0.375
SEQ1	796	-0.141
SEQ1	797	0.156
SEQ1	798	0.395
SEQ1	799	0.413
SEQ1	800	0.317
SEQ1	801	-0.121
SEQ1	802	-0.492
SEQ1	803	-0.551
SEQ1	804	-0.274
SEQ1	805	0.0101
SEQ1	806	0.0842
SEQ1	807	-0.132
SEQ1	808	-0.632
SEQ1	809	-0.655
SEQ1	810	-0.706
SEQ1	811	-0.482
SEQ1	812	-0.509
SEQ1	813	-0.362
SEQ1	814	-0.518
SEQ1	815	-0.325
